StartDate,EndDate,Duration (in seconds),ResponseId,Division,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q13_4,Q13_5,Q14,Q15_4,Q15_10,Q15_9,Q15_7,Q15_8,Q15_11,Q15_5,Q15_12,Q16,Q17,Q18,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25,Q26_10,Q26_9,Q26_7,Q26_8,Q26_5,Q26_12,Q27_4,Q27_10,Q27_9,Q27_7,Q27_8,Q27_11
Start Date,End Date,Duration (in seconds),Response ID,Division,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - ERFs (Extension Request Forms),What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater/Cru, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,How well do each of the following categories align with your academic interests? - STEM,How well do each of the following categories align with your academic interests? - Humanities,Which subject assigns the most homework? (Select one),"If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - CADS","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - English","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Fine Arts","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - History","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Math","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Mind/Body","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Science","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - World Language","If you had unlimited time and no graduation requirements, would you be interested in taking an interdisciplinary elective at Crystal (e.g., Climate Change and Policy, Bioethics, History of Art, Artificial Intelligence in Literature, etc.)?","If you answered yes to the previous question, which two departments would you most like to collaborate? (Select 2)","If you would like to explain your interests in interdisciplinary collaboration/electives in more detail, please do so below.",What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?,What is your favorite subject? (Drag to rank) - English,What is your favorite subject? (Drag to rank) - Fine Arts,What is your favorite subject? (Drag to rank) - History,What is your favorite subject? (Drag to rank) - Math,What is your favorite subject? (Drag to rank) - Science,What is your favorite subject? (Drag to rank) - World Language,What is your favorite Crystal tradition? (Drag to rank) - Snow Day,What is your favorite Crystal tradition? (Drag to rank) - Lip Sync,What is your favorite Crystal tradition? (Drag to rank) - PoP Week,What is your favorite Crystal tradition? (Drag to rank) - Secret Gryphon,What is your favorite Crystal tradition? (Drag to rank) - Trivia Bowl,What is your favorite Crystal tradition? (Drag to rank) - Halls
2/22/2021 11:34:47,2/22/2021 11:41:21,394,R_1Cf29wp4UIFvBLo,US,10,1,2,0,20,7,12,4.3,6,1,2,3,4,5,9.3,2,3,1,4,Varsity Soccer!,3,1,2,4,0,0,10,1,World Language,4,5,3,7,2,6,1,8,No,,,10,Female,,4,Less than 15 minutes,Asian: East Asian,,Atheist,,Not sure/Prefer not to answer,,,,,,,,,,,,
2/22/2021 11:35:30,2/22/2021 12:17:16,2505,R_1eDZdSrOcn1wllO,US,7,0,0,8,0,4,4,6.5,10,1,2,4,3,5,7.5,2,4,1,3,,3,1,4,2,5,2.5,8,7,English,8,6,3,7,4,2,5,1,Yes,"Mind/Body,Science",,9,Female,,3 or fewer,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,High school diploma or G.E.D,,,,,,,,,,,,
2/22/2021 11:27:14,2/22/2021 11:34:19,425,R_eDOUtU4XO8FOJYR,US,7.7,5,0,0,2,5.6,6,7.1,8.4,1,2,4,3,5,5,2,3,4,1,,2,1,3,4,3,2,0,4,Science,8,4,1,3,5,6,7,2,Yes,"Fine Arts,World Language",,9,Female,,5,Less than 15 minutes,Hispanic or Latina/o/x,,Not sure/Prefer not to answer,,Did not finish high school,,,,,,,,,,,,
2/22/2021 11:35:41,2/22/2021 11:44:02,500,R_2TznIPHZXiLpich,US,7.8,10,2,5,5,3,6,7.7,9.1,1,2,5,3,4,4.7,4,2,3,1,robotics,2,1,4,3,2,2.3,6,4,Math,7,4,5,3,8,6,2,1,Yes,"History,Science",,9,Female,,4,15 to 30 minutes,"Asian: East Asian,Asian: Indian or South/Southeast Asian,Multiracial",,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:27:48,2/22/2021 11:39:22,694,R_2SpG9NWvpcE7MH9,MS,5.7,2,0,0,9,1.5,1,8,10,1,3,4,2,,5,1,4,3,2,I don't have one,4,3,1,2,3,2,,,Math,,,,,,,,,,,,8,Female,,5,Less than 15 minutes,Asian: East Asian,,Other (optional specification),I don't affiliate with any religion,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",5,3,6,1,4,2,1,2,5,3,4,6
2/22/2021 11:36:15,2/22/2021 11:41:46,330,R_1Qa7JC2PPPIayd7,US,6,0,0,5,0,4,6,6,7,2,1,3,4,5,7,1,3,2,4,Period Clubs,2,1,3,4,2,3.5,8,2,CADS,4,8,7,6,2,5,3,1,Yes,"CADS,World Language",,11,Male,,4,60 minutes or more,Hispanic or Latina/o/x,,"Christian (Protestant, Catholic, Orthodox, etc.)",,High school diploma or G.E.D,,,,,,,,,,,,
2/22/2021 11:33:08,2/22/2021 11:41:42,514,R_3syMLpYn24t9vsc,US,8,20,1,12,3,3,6,6,9,1,2,3,5,4,8,3,2,1,4,sports,4,2,3,1,2,1,6,4,Math,2,4,8,7,1,5,3,6,No,,,10,Male,,4,30 to 60 minutes,"Asian: East Asian,Native Hawaiian or Other Pacific Islander",,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:36:19,2/22/2021 11:38:40,140,R_pfKgj1T74hKEIA9,US,7.5,12,2,14,4,3.5,4,7.5,10,2,1,4,5,3,4,2,3,1,4,Varsity Football,4,3,1,2,2,2,7,3,English,1,4,8,2,3,7,5,6,Yes,"History,Science",History of Science would be super cool,12,Male,,5,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:35:46,2/22/2021 11:45:00,553,R_e5Mk3orhY8qSjMl,MS,6,4,0,0,3,3.5,2,6.5,9,1,3,2,4,,8,1,3,4,2,Clubs!,3,1,4,2,5,3,,,Math,,,,,,,,,,,,7,Female,,4,15 to 30 minutes,Hispanic or Latina/o/x,,Not sure/Prefer not to answer,,Did not finish high school,3,4,5,6,2,1,1,4,2,3,5,6
